intelligence,ranks,sizes,traits
border collie,border collies,border collie,border collies
poodle,poodles,poodle toy,poodles
german shepherd,german shepherd dogs,german shepherd dog,german shepherd dogs
golden retriever,retrievers (golden),golden retriever,retrievers (golden)
doberman pinscher,doberman pinschers,doberman pinscher,doberman pinschers
shetland sheepdog,shetland sheepdogs,shetland sheepdog (sheltie),shetland sheepdogs
labrador retriever,retrievers (labrador),labrador retriever,retrievers (labrador)
papillon,papillons,papillon,papillons
rottweiler,rottweilers,rottweiler,rottweilers
australian cattle dog,australian cattle dogs,australian cattle dog,australian cattle dogs
english springer spaniel,spaniels (english springer),english springer spaniel,spaniels (english springer)
schipperke,schipperkes,schipperke,schipperkes
belgian sheepdog,belgian sheepdogs,belgian sheepdog,belgian sheepdogs
collie,collies,border collie,collies
keeshond,keeshonden,keeshond,keeshonden
german shorthaired pointer,pointers (german shorthaired),german shorthaired pointer,pointers (german shorthaired)
flat-coated retriever,retrievers (flat-coated),flat coated retriever,retrievers (flat-coated)
english cocker spaniel,spaniels (english cocker),cocker spaniel-english,spaniels (english cocker)
standard schnauzer,standard schnauzers,standard schnauzer,standard schnauzers
brittany,brittanys,brittany,brittanys
cocker spaniel,spaniels (cocker),cocker spaniel-english,spaniels (cocker)
weimaraner,weimaraners,weimaraner,weimaraners
belgian malinois,belgian malinois,belgian malinois,belgian malinois
bernese mountain dog,bernese mountain dogs,bernese mountain dog,bernese mountain dogs
pomeranian,pomeranians,pomeranian,pomeranians
irish water spaniel,spaniels (irish water),irish water spaniel,spaniels (irish water)
vizsla,vizslas,vizsla,vizslas
cardigan welsh corgi,cardigan welsh corgis,cardigan welsh corgi,cardigan welsh corgis
chesapeake bay retriever,retrievers (chesapeake bay),chesapeake bay retriever,retrievers (chesapeake bay)
yorkshire terrier,yorkshire terriers,yorkshire terrier,yorkshire terriers
giant schnauzer,giant schnauzers,giant schnauzer,giant schnauzers
portuguese water dog,portuguese water dogs,portuguese water dog,portuguese water dogs
bouvier des flandres,bouviers des flandres,bouvier des flandres,bouviers des flandres
border terrier,border terriers,border terrier,border terriers
briard,briards,briard,briards
welsh springer spaniel,spaniels (welsh springer),welsh springer spaniel,spaniels (welsh springer)
manchester terrier,manchester terriers,manchester terrier (toy),manchester terriers
