intelligence,ranks,sizes,traits,invalid
Border Collie,Border Collies,Border Collie,Border Collies,0
Poodle,Poodles,Poodle Toy,Poodles,0
German Shepherd,German Shepherd Dogs,German Shepherd Dog,German Shepherd Dogs,0
Golden Retriever,Retrievers (Golden),Golden Retriever,Retrievers (Golden),0
Doberman Pinscher,Doberman Pinschers,Doberman Pinscher,Doberman Pinschers,0
Shetland Sheepdog,Shetland Sheepdogs,Shetland Sheepdog (Sheltie),Shetland Sheepdogs,0
Labrador Retriever,Retrievers (Labrador),Labrador Retriever,Retrievers (Labrador),0
Papillon,Papillons,Papillon,Papillons,0
Rottweiler,Rottweilers,Rottweiler,Rottweilers,0
Australian Cattle Dog,Australian Cattle Dogs,Australian Cattle Dog,Australian Cattle Dogs,0
English Springer Spaniel,Spaniels (English Springer),English Springer Spaniel,Spaniels (English Springer),0
Schipperke,Schipperkes,Schipperke,Schipperkes,0
Belgian Sheepdog,Belgian Sheepdogs,Belgian Sheepdog,Belgian Sheepdogs,0
Collie,Collies,Border Collie,Collies,0
Keeshond,Keeshonden,Keeshond,Keeshonden,0
German Shorthaired Pointer,Pointers (German Shorthaired),German Shorthaired Pointer,Pointers (German Shorthaired),0
Flat-Coated Retriever,Retrievers (Flat-Coated),Flat Coated Retriever,Retrievers (Flat-Coated),0
English Cocker Spaniel,Spaniels (English Cocker),Cocker Spaniel-English,Spaniels (English Cocker),0
Standard Schnauzer,Standard Schnauzers,Standard Schnauzer,Standard Schnauzers,0
Brittany,Brittanys,Brittany,Brittanys,0
Weimaraner,Weimaraners,Weimaraner,Weimaraners,0
Belgian Malinois,Belgian Malinois,Belgian Malinois,Belgian Malinois,0
Bernese Mountain Dog,Bernese Mountain Dogs,Bernese Mountain Dog,Bernese Mountain Dogs,0
Pomeranian,Pomeranians,Pomeranian,Pomeranians,0
Irish Water Spaniel,Spaniels (Irish Water),Irish Water Spaniel,Spaniels (Irish Water),0
Vizsla,Vizslas,Vizsla,Vizslas,0
Cardigan Welsh Corgi,Cardigan Welsh Corgis,Cardigan Welsh Corgi,Cardigan Welsh Corgis,0
Chesapeake Bay Retriever,Retrievers (Chesapeake Bay),Chesapeake Bay Retriever,Retrievers (Chesapeake Bay),0
Puli,Pulik,Puli,Pulik,0
Yorkshire Terrier,Yorkshire Terriers,Yorkshire Terrier,Yorkshire Terriers,0
Giant Schnauzer,Giant Schnauzers,Giant Schnauzer,Giant Schnauzers,0
Portuguese Water Dog,Portuguese Water Dogs,Portuguese Water Dog,Portuguese Water Dogs,0
Bouvier des Flandres,Bouviers des Flandres,Bouvier Des Flandres,Bouviers des Flandres,0
Border Terrier,Border Terriers,Border Terrier,Border Terriers,0
Briard,Briards,Briard,Briards,0
Welsh Springer Spaniel,Spaniels (Welsh Springer),Welsh Springer Spaniel,Spaniels (Welsh Springer),0
Manchester Terrier,Manchester Terriers,Manchester Terrier (Toy),Manchester Terriers,0
Samoyed,Samoyeds,Samoyed,Samoyeds,0
Field Spaniel,Spaniels (Field),Field Spaniel,Spaniels (Field),0
Newfoundland,Newfoundlands,Newfoundland,Newfoundlands,0
Australian Terrier,Australian Terriers,Australian Terrier,Australian Terriers,0
