Questions,Subject,Medium,Max Marks,Marks Obtained,Marks Obtained Chat GPT
Demonstrate using logical equivalences that [(p ? q) ? -p] ? q is a tautology.,DS,Exam,2,2,2
"Consider an application program containing integer, floating point, string, and Boolean instructions. Compute the total instruction count of a program to ensure that at least 50 instructions are of same type?",DS,Exam,2,2,0.5
Compute the most simplified form of the compound proposition p ?(p ? q) using logical equivalences.,DS,Quiz,5,3,5
Use De Morgan’s law to write negation of give sentence in intelligible English: Object Oriented Programming is interesting but difficult.,DS,Assignment,2,2,2
Use logical equivalences to show that: (p ? q) ? (q ? ¬r) ? (p ? r) = p ? q,DS,Assignment,5,4,3
Use logical equivalences to show that following compound proposition is tautology.                                                   [(p?q) ? (q?r)]?(p ? r),DS,Assignment,5,5,5
"Prove by contraposition that: if the product of two integers is odd, then both of them are odd.",DS,Exam,7,7,7
"In a group of 42 tourists, everyone speaks English or French; there are 35 English speakers and 18 French speakers. How many speak both English and French?",DS,Quiz,3,3,3
Translate the statement “I am not confused unless I don’t perform well” in symbolic form. Please define your own proposition labels.,DS,Exam,2,2,2
"Give inverse, converse and contrapositive of the following statement in natural language. 
""If I don’t understand mathematics, then I don’t understand data science.""",DS,Quiz,3,2,3
Translate the statement “I go to gym unless I prepare for exams.” in symbolic form. Please define your own proposition labels.,DS,Quiz,3,3,3
Provide two examples of signal that are not a time signal? What is each of this signal used for? What is the dimension of each signal? Is the example continuous-time or discrete time?,S&S,Quiz,1,1,1
What is the other name of a Continuous Time Unit Impulse Function?,S&S,Exam,0.5,0.5,0.5
The fundamental period of the signal X (t) = 10 cos2(10 ?t) is ?,S&S,Exam,0.5,0.5,0.5
Find the decimal value represented by each of the following IEEE 754 coded numbers: AEF00000,COD,Assignment,2,2,1
"A set associative cache consists of 64 lines divided into four-line sets (i.e. four-way set associative). Main memory contains 4K blocks of 128 words each. The machine is word-addressable. Show the format of memory addresses (i.e. the breakdown of the address into tag, set and offset fields).",COD,Exam,3,3,3
A write-back cache is implemented using a 4-way set associative mapping with 256 sets and 32-byte lines. How many bytes of data may be stored in the cache?,COD,Exam,4,4,4
"Consider R format, place value in each field (in decimal) for following MIPS instructions:""and $t9, $s6, $s7""",COD,Assignment,2,2,1
"Consider R format, place value in each field (in decimal) for following MIPS instructions:""sub $s5, $s3, $s4"" ",COD,Assignment,2,2,2
Give pictorial representation of how chap protocol works?,CCN,Assignment,5,5,5
Define different packets of chap protocol with the number of bytes assigned,CCN,Assignment,5,4,5
Create multiple subnets from 10.0.0.0/8 network and use it for the configuration of entire diagram,CCN,Exam,10,8,9
"Use a dynamic routing protocol to ensure the end to end connectivity.  On Router 0, configure the NAT.",CCN,Exam,10,7,8
"Consider sending a 4500 byte datagram into a link that has an MTU of 1500 bytes. Suppose original datagram is stamped with Identification number of 747. Determine how many fragments are generated? What will be their fragment offset, total length, Identification and MF values",CCN,Exam,8,6,8
"Some applications carry IP addresses and port numbers in payload part of a packet. Is this an issue for NAT or PAT operation? If yes, determine how this can be resolved.",CCN,Exam,5,5,5
Write down the algorithm for IP Traffic defragmentation or fragment re-assembly,CCN,Exam,9,8,9
Differentiate between csma and aloha prototcol,CCN,Exam,5,4,5
Contrast between csma/cd and csma/ca,CCN,Exam,8,7,8
What is the purpose of ieee standards organization?,CCN,Exam,5,4,5
:Why has the PCM sampling time been set at 125 µsec,CCN,Exam,5,4,5
"Three packets switching network each with n nodes. The first network is a star with a central switch, second is a bidirectional ring, a mesh that is fully interconnected. What are best, average and worst case",CCN,Exam,5,4,5
"A CATV system has 100 commercial channels, all of them alternating programs with advertising. Is this more like TDM or FDM?",CCN,Exam,5,4,5
How fast can a cable user receive data if the network is otherwise idle?,CCN,Exam,5,4,5
What is the basic purpose of data link layer?,CCN,Exam,8,4,8
Data link protocols have crc trailer in the end.Why?,CCN,Exam,8,6,8
"If the unit exchanged at the data link layer is called a frame and the unit
exchanged at the network level is called a packet, do frames encapsulate packets or
do packets encapsulate frames? Explain your answer",CCN,Exam,10,9,10
List 2 advantages and disadvantages of having internationsal standard protocol,CCN,Exam,2,2,2
Diffeerentiate between guided and un guided media,CCN,Exam,5,5,5
Define data transparency,CCN,Exam,1,1,1
hHow do you distinguish between packet and message switching,CCN,Exam,5,4,5
Two networks each provide reliable connection oriented services. One of them offers a reliable byte stream and the other offers a reliable message stream. Are these identical? If yes then how?,CCN,Exam,5,4,5
Is the Nyquist theorem only for optical fibre or copper wire?,CCN,Exam,5,4,5
How would you life be altered on considering applications of ccn in your daily routine,CCN,Exam,5,4,5
Negotiate selective reject if seven frames are sent and frame three is not acknowledged,CCN,Exam,8,8,8
Subnet base address: 192.168.1.0/24. Subnet it to new cidr length /26,CCN,Exam,8,8,8
Prove by direct proof that the sum of an even integer and an odd integer is odd.,DS,Exercise,5,4,5
Prove by direct proof that the  sum of two odd integers is even.,DS,Exercise,5,4,5
Prove by direct proof that the sum of an integer and its square is even.,DS,Exercise,5,4,5
Prove by direct proof that the product of two odd integers is odd. ,DS,Exercise,5,3,5
Prove by direct proof that the square of an even number is divisible by 4.,DS,Exercise,5,4,5
"Prove by direct proof that if if two integers are each divisible by some integer n, then their sum is also divisible by n.",DS,Exercise,5,3,5
